序号,日期,年,季,月,年周数,星期
1,2016/1/1,2016,1,1,1,6
2,2016/1/2,2016,1,1,1,7
3,2016/1/3,2016,1,1,2,1
4,2016/1/4,2016,1,1,2,2
5,2016/1/5,2016,1,1,2,3
6,2016/1/6,2016,1,1,2,4
7,2016/1/7,2016,1,1,2,5
8,2016/1/8,2016,1,1,2,6
9,2016/1/9,2016,1,1,2,7
10,2016/1/10,2016,1,1,3,1
11,2016/1/11,2016,1,1,3,2
12,2016/1/12,2016,1,1,3,3
13,2016/1/13,2016,1,1,3,4
14,2016/1/14,2016,1,1,3,5
15,2016/1/15,2016,1,1,3,6
16,2016/1/16,2016,1,1,3,7
17,2016/1/17,2016,1,1,4,1
18,2016/1/18,2016,1,1,4,2
19,2016/1/19,2016,1,1,4,3
20,2016/1/20,2016,1,1,4,4
21,2016/1/21,2016,1,1,4,5
22,2016/1/22,2016,1,1,4,6
23,2016/1/23,2016,1,1,4,7
24,2016/1/24,2016,1,1,5,1
25,2016/1/25,2016,1,1,5,2
26,2016/1/26,2016,1,1,5,3
27,2016/1/27,2016,1,1,5,4
28,2016/1/28,2016,1,1,5,5
29,2016/1/29,2016,1,1,5,6
30,2016/1/30,2016,1,1,5,7
31,2016/1/31,2016,1,1,6,1
32,2016/2/1,2016,1,2,6,2
33,2016/2/2,2016,1,2,6,3
34,2016/2/3,2016,1,2,6,4
35,2016/2/4,2016,1,2,6,5
36,2016/2/5,2016,1,2,6,6
37,2016/2/6,2016,1,2,6,7
38,2016/2/7,2016,1,2,7,1
39,2016/2/8,2016,1,2,7,2
40,2016/2/9,2016,1,2,7,3
41,2016/2/10,2016,1,2,7,4
42,2016/2/11,2016,1,2,7,5
43,2016/2/12,2016,1,2,7,6
44,2016/2/13,2016,1,2,7,7
45,2016/2/14,2016,1,2,8,1
46,2016/2/15,2016,1,2,8,2
47,2016/2/16,2016,1,2,8,3
48,2016/2/17,2016,1,2,8,4
49,2016/2/18,2016,1,2,8,5
50,2016/2/19,2016,1,2,8,6
51,2016/2/20,2016,1,2,8,7
52,2016/2/21,2016,1,2,9,1
53,2016/2/22,2016,1,2,9,2
54,2016/2/23,2016,1,2,9,3
55,2016/2/24,2016,1,2,9,4
56,2016/2/25,2016,1,2,9,5
57,2016/2/26,2016,1,2,9,6
58,2016/2/27,2016,1,2,9,7
59,2016/2/28,2016,1,2,10,1
60,2016/2/29,2016,1,2,10,2
61,2016/3/1,2016,1,3,10,3
62,2016/3/2,2016,1,3,10,4
63,2016/3/3,2016,1,3,10,5
64,2016/3/4,2016,1,3,10,6
65,2016/3/5,2016,1,3,10,7
66,2016/3/6,2016,1,3,11,1
67,2016/3/7,2016,1,3,11,2
68,2016/3/8,2016,1,3,11,3
69,2016/3/9,2016,1,3,11,4
70,2016/3/10,2016,1,3,11,5
71,2016/3/11,2016,1,3,11,6
72,2016/3/12,2016,1,3,11,7
73,2016/3/13,2016,1,3,12,1
74,2016/3/14,2016,1,3,12,2
75,2016/3/15,2016,1,3,12,3
76,2016/3/16,2016,1,3,12,4
77,2016/3/17,2016,1,3,12,5
78,2016/3/18,2016,1,3,12,6
79,2016/3/19,2016,1,3,12,7
80,2016/3/20,2016,1,3,13,1
81,2016/3/21,2016,1,3,13,2
82,2016/3/22,2016,1,3,13,3
83,2016/3/23,2016,1,3,13,4
84,2016/3/24,2016,1,3,13,5
85,2016/3/25,2016,1,3,13,6
86,2016/3/26,2016,1,3,13,7
87,2016/3/27,2016,1,3,14,1
88,2016/3/28,2016,1,3,14,2
89,2016/3/29,2016,1,3,14,3
90,2016/3/30,2016,1,3,14,4
91,2016/3/31,2016,1,3,14,5
92,2016/4/1,2016,2,4,14,6
93,2016/4/2,2016,2,4,14,7
94,2016/4/3,2016,2,4,15,1
95,2016/4/4,2016,2,4,15,2
96,2016/4/5,2016,2,4,15,3
97,2016/4/6,2016,2,4,15,4
98,2016/4/7,2016,2,4,15,5
99,2016/4/8,2016,2,4,15,6
100,2016/4/9,2016,2,4,15,7
101,2016/4/10,2016,2,4,16,1
102,2016/4/11,2016,2,4,16,2
103,2016/4/12,2016,2,4,16,3
104,2016/4/13,2016,2,4,16,4
105,2016/4/14,2016,2,4,16,5
106,2016/4/15,2016,2,4,16,6
107,2016/4/16,2016,2,4,16,7
108,2016/4/17,2016,2,4,17,1
109,2016/4/18,2016,2,4,17,2
110,2016/4/19,2016,2,4,17,3
111,2016/4/20,2016,2,4,17,4
112,2016/4/21,2016,2,4,17,5
113,2016/4/22,2016,2,4,17,6
114,2016/4/23,2016,2,4,17,7
115,2016/4/24,2016,2,4,18,1
116,2016/4/25,2016,2,4,18,2
117,2016/4/26,2016,2,4,18,3
118,2016/4/27,2016,2,4,18,4
119,2016/4/28,2016,2,4,18,5
120,2016/4/29,2016,2,4,18,6
121,2016/4/30,2016,2,4,18,7
122,2016/5/1,2016,2,5,19,1
123,2016/5/2,2016,2,5,19,2
124,2016/5/3,2016,2,5,19,3
125,2016/5/4,2016,2,5,19,4
126,2016/5/5,2016,2,5,19,5
127,2016/5/6,2016,2,5,19,6
128,2016/5/7,2016,2,5,19,7
129,2016/5/8,2016,2,5,20,1
130,2016/5/9,2016,2,5,20,2
131,2016/5/10,2016,2,5,20,3
132,2016/5/11,2016,2,5,20,4
133,2016/5/12,2016,2,5,20,5
134,2016/5/13,2016,2,5,20,6
135,2016/5/14,2016,2,5,20,7
136,2016/5/15,2016,2,5,21,1
137,2016/5/16,2016,2,5,21,2
138,2016/5/17,2016,2,5,21,3
139,2016/5/18,2016,2,5,21,4
140,2016/5/19,2016,2,5,21,5
141,2016/5/20,2016,2,5,21,6
142,2016/5/21,2016,2,5,21,7
143,2016/5/22,2016,2,5,22,1
144,2016/5/23,2016,2,5,22,2
145,2016/5/24,2016,2,5,22,3
146,2016/5/25,2016,2,5,22,4
147,2016/5/26,2016,2,5,22,5
148,2016/5/27,2016,2,5,22,6
149,2016/5/28,2016,2,5,22,7
150,2016/5/29,2016,2,5,23,1
151,2016/5/30,2016,2,5,23,2
152,2016/5/31,2016,2,5,23,3
153,2016/6/1,2016,2,6,23,4
154,2016/6/2,2016,2,6,23,5
155,2016/6/3,2016,2,6,23,6
156,2016/6/4,2016,2,6,23,7
157,2016/6/5,2016,2,6,24,1
158,2016/6/6,2016,2,6,24,2
159,2016/6/7,2016,2,6,24,3
160,2016/6/8,2016,2,6,24,4
161,2016/6/9,2016,2,6,24,5
162,2016/6/10,2016,2,6,24,6
163,2016/6/11,2016,2,6,24,7
164,2016/6/12,2016,2,6,25,1
165,2016/6/13,2016,2,6,25,2
166,2016/6/14,2016,2,6,25,3
167,2016/6/15,2016,2,6,25,4
168,2016/6/16,2016,2,6,25,5
169,2016/6/17,2016,2,6,25,6
170,2016/6/18,2016,2,6,25,7
171,2016/6/19,2016,2,6,26,1
172,2016/6/20,2016,2,6,26,2
173,2016/6/21,2016,2,6,26,3
174,2016/6/22,2016,2,6,26,4
175,2016/6/23,2016,2,6,26,5
176,2016/6/24,2016,2,6,26,6
177,2016/6/25,2016,2,6,26,7
178,2016/6/26,2016,2,6,27,1
179,2016/6/27,2016,2,6,27,2
180,2016/6/28,2016,2,6,27,3
181,2016/6/29,2016,2,6,27,4
182,2016/6/30,2016,2,6,27,5
183,2016/7/1,2016,3,7,27,6
184,2016/7/2,2016,3,7,27,7
185,2016/7/3,2016,3,7,28,1
186,2016/7/4,2016,3,7,28,2
187,2016/7/5,2016,3,7,28,3
188,2016/7/6,2016,3,7,28,4
189,2016/7/7,2016,3,7,28,5
190,2016/7/8,2016,3,7,28,6
191,2016/7/9,2016,3,7,28,7
192,2016/7/10,2016,3,7,29,1
193,2016/7/11,2016,3,7,29,2
194,2016/7/12,2016,3,7,29,3
195,2016/7/13,2016,3,7,29,4
196,2016/7/14,2016,3,7,29,5
197,2016/7/15,2016,3,7,29,6
198,2016/7/16,2016,3,7,29,7
199,2016/7/17,2016,3,7,30,1
200,2016/7/18,2016,3,7,30,2
201,2016/7/19,2016,3,7,30,3
202,2016/7/20,2016,3,7,30,4
203,2016/7/21,2016,3,7,30,5
204,2016/7/22,2016,3,7,30,6
205,2016/7/23,2016,3,7,30,7
206,2016/7/24,2016,3,7,31,1
207,2016/7/25,2016,3,7,31,2
208,2016/7/26,2016,3,7,31,3
209,2016/7/27,2016,3,7,31,4
210,2016/7/28,2016,3,7,31,5
211,2016/7/29,2016,3,7,31,6
212,2016/7/30,2016,3,7,31,7
213,2016/7/31,2016,3,7,32,1
214,2016/8/1,2016,3,8,32,2
215,2016/8/2,2016,3,8,32,3
216,2016/8/3,2016,3,8,32,4
217,2016/8/4,2016,3,8,32,5
218,2016/8/5,2016,3,8,32,6
219,2016/8/6,2016,3,8,32,7
220,2016/8/7,2016,3,8,33,1
221,2016/8/8,2016,3,8,33,2
222,2016/8/9,2016,3,8,33,3
223,2016/8/10,2016,3,8,33,4
224,2016/8/11,2016,3,8,33,5
225,2016/8/12,2016,3,8,33,6
226,2016/8/13,2016,3,8,33,7
227,2016/8/14,2016,3,8,34,1
228,2016/8/15,2016,3,8,34,2
229,2016/8/16,2016,3,8,34,3
230,2016/8/17,2016,3,8,34,4
231,2016/8/18,2016,3,8,34,5
232,2016/8/19,2016,3,8,34,6
233,2016/8/20,2016,3,8,34,7
234,2016/8/21,2016,3,8,35,1
235,2016/8/22,2016,3,8,35,2
236,2016/8/23,2016,3,8,35,3
237,2016/8/24,2016,3,8,35,4
238,2016/8/25,2016,3,8,35,5
239,2016/8/26,2016,3,8,35,6
240,2016/8/27,2016,3,8,35,7
241,2016/8/28,2016,3,8,36,1
242,2016/8/29,2016,3,8,36,2
243,2016/8/30,2016,3,8,36,3
244,2016/8/31,2016,3,8,36,4
245,2016/9/1,2016,3,9,36,5
246,2016/9/2,2016,3,9,36,6
247,2016/9/3,2016,3,9,36,7
248,2016/9/4,2016,3,9,37,1
249,2016/9/5,2016,3,9,37,2
250,2016/9/6,2016,3,9,37,3
251,2016/9/7,2016,3,9,37,4
252,2016/9/8,2016,3,9,37,5
253,2016/9/9,2016,3,9,37,6
254,2016/9/10,2016,3,9,37,7
255,2016/9/11,2016,3,9,38,1
256,2016/9/12,2016,3,9,38,2
257,2016/9/13,2016,3,9,38,3
258,2016/9/14,2016,3,9,38,4
259,2016/9/15,2016,3,9,38,5
260,2016/9/16,2016,3,9,38,6
261,2016/9/17,2016,3,9,38,7
262,2016/9/18,2016,3,9,39,1
263,2016/9/19,2016,3,9,39,2
264,2016/9/20,2016,3,9,39,3
265,2016/9/21,2016,3,9,39,4
266,2016/9/22,2016,3,9,39,5
267,2016/9/23,2016,3,9,39,6
268,2016/9/24,2016,3,9,39,7
269,2016/9/25,2016,3,9,40,1
270,2016/9/26,2016,3,9,40,2
271,2016/9/27,2016,3,9,40,3
272,2016/9/28,2016,3,9,40,4
273,2016/9/29,2016,3,9,40,5
274,2016/9/30,2016,3,9,40,6
275,2016/10/1,2016,4,10,40,7
276,2016/10/2,2016,4,10,41,1
277,2016/10/3,2016,4,10,41,2
278,2016/10/4,2016,4,10,41,3
279,2016/10/5,2016,4,10,41,4
280,2016/10/6,2016,4,10,41,5
281,2016/10/7,2016,4,10,41,6
282,2016/10/8,2016,4,10,41,7
283,2016/10/9,2016,4,10,42,1
284,2016/10/10,2016,4,10,42,2
285,2016/10/11,2016,4,10,42,3
286,2016/10/12,2016,4,10,42,4
287,2016/10/13,2016,4,10,42,5
288,2016/10/14,2016,4,10,42,6
289,2016/10/15,2016,4,10,42,7
290,2016/10/16,2016,4,10,43,1
291,2016/10/17,2016,4,10,43,2
292,2016/10/18,2016,4,10,43,3
293,2016/10/19,2016,4,10,43,4
294,2016/10/20,2016,4,10,43,5
295,2016/10/21,2016,4,10,43,6
296,2016/10/22,2016,4,10,43,7
297,2016/10/23,2016,4,10,44,1
298,2016/10/24,2016,4,10,44,2
299,2016/10/25,2016,4,10,44,3
300,2016/10/26,2016,4,10,44,4
301,2016/10/27,2016,4,10,44,5
302,2016/10/28,2016,4,10,44,6
303,2016/10/29,2016,4,10,44,7
304,2016/10/30,2016,4,10,45,1
305,2016/10/31,2016,4,10,45,2
