日期,高温,低温,天气状况,风,空气
2016/1/1,5,-4,霾,无持续风向微风,严重污染
2016/1/2,5,-4,霾~雾,无持续风向微风,严重污染
2016/1/3,4,-4,霾~多云,无持续风向微风,重度污染
2016/1/4,2,-7,多云~晴,北风3-4级,优
2016/1/5,-1,-8,多云,西北风微风,优
2016/1/6,0,-8,多云,西北风微风,优
2016/1/7,-1,-8,多云,西北风微风,优
2016/1/8,-1,-8,多云,西北风微风,良
2016/1/9,1,-8,多云,西北风微风,轻度污染
2016/1/10,-1,-10,阴~多云,北风微风,优
2016/1/11,-3,-11,多云,西北风微风,优
2016/1/12,-3,-11,多云,西北风微风,优
2016/1/13,-1,-9,多云,西北风微风,优
2016/1/14,1,-7,多云,西风微风,轻度污染
2016/1/15,1,-7,多云~阴,北风微风,重度污染
2016/1/16,0,-9,多云,东南风微风,中度污染
2016/1/17,-5,-13,多云,北风微风,良
2016/1/18,-6,-13,多云,西北风微风,优
2016/1/19,-4,-14,多云,西北风微风,中度污染
2016/1/20,-4,-10,阴~多云,北风微风,重度污染
2016/1/21,-2,-13,多云,北风微风,重度污染
2016/1/22,-6,-16,多云~晴,西北风微风,优
2016/1/23,-14,-18,阴~晴,西北风微风,优
2016/1/24,-5,-16,阴~多云,西北风微风,良
2016/1/25,0,-12,多云,西北风微风,良
2016/1/26,-1,-10,多云,西北风微风,良
2016/1/27,1,-9,多云,西北风微风,严重污染
2016/1/28,3,-8,多云,北风微风,严重污染
2016/1/29,-2,-7,多云,东风微风,良
2016/1/30,-3,-11,阴~多云,北风微风,良
2016/1/31,0,-10,多云~晴,西北风微风,优
2016/2/1,2,-8,多云~阴,西北风微风,优
2016/2/2,3,-7,多云,西北风微风,优
2016/2/3,5,-5,多云,西北风微风,良
2016/2/4,3,-6,多云,北风微风,优
2016/2/5,2,-5,多云~晴,西北风微风,优
2016/2/6,4,-5,晴,西北风微风,优
2016/2/7,6,-4,多云,西风微风,良
2016/2/8,11,-3,晴,西北风微风,重度污染
2016/2/9,10,-2,多云~晴,北风微风,良
2016/2/10,9,0,晴~阴,北风微风,轻度污染
2016/2/11,9,2,小雨~多云,北风微风,重度污染
2016/2/12,12,1,小雨,北风微风,重度污染
2016/2/13,2,-7,多云~晴,西北风微风,优
2016/2/14,0,-6,多云~晴,西北风微风,优
2016/2/15,3,-6,多云~晴,西北风微风,优
2016/2/16,6,-3,多云,西北风微风,优
2016/2/17,8,-2,多云,西南风微风,优
2016/2/18,9,-2,晴~阴,北风4-5级,优
2016/2/19,7,-4,多云,北风微风,优
2016/2/20,4,-5,多云,西北风微风,优
2016/2/21,6,-4,多云,南风微风,良
2016/2/22,5,-5,多云,西北风微风,轻度污染
2016/2/23,2,-6,多云,西北风微风,优
2016/2/24,5,-5,多云,西风微风,优
2016/2/25,5,-4,多云,西风微风,优
2016/2/26,7,-2,多云,西南风微风,良
2016/2/27,6,-1,阴,北风微风,优
2016/2/28,4,-5,阴~多云,北风微风,良
2016/2/29,4,-4,阴,南风微风,优
2016/3/1,10,-1,多云,南风微风,轻度污染
2016/3/2,17,3,多云,西风微风,重度污染
2016/3/3,18,5,阴,东南风微风,严重污染
2016/3/4,15,3,阴,西风微风,严重污染
2016/3/5,12,1,多云,西北风微风,轻度污染
2016/3/6,10,2,多云~晴,北风微风,良
2016/3/7,11,-1,晴~阴,北风3-4级,良
2016/3/8,5,-4,多云,北风微风,优
2016/3/9,5,-3,多云,西北风微风,优
2016/3/10,6,-3,多云,西北风微风,优
2016/3/11,8,-1,多云,西南风微风,优
2016/3/12,11,1,阴~多云,西风微风,中度污染
2016/3/13,11,-2,晴,北风3-4级,良
2016/3/14,15,4,多云~阴,南风微风,轻度污染
2016/3/15,16,4,阴~多云,南风微风,中度污染
2016/3/16,18,7,多云,南风微风,严重污染
2016/3/17,20,9,多云,西南风微风,严重污染
2016/3/18,20,6,多云,东北风微风,重度污染
2016/3/19,16,5,多云,南风微风,良
2016/3/20,19,6,多云,南风微风,良
2016/3/21,20,8,晴~多云,无持续风向微风,中度污染
2016/3/22,15,5,小雨~多云,东风微风,轻度污染
2016/3/23,13,3,多云,北风微风,优
2016/3/24,14,4,多云~阴,北风微风,优
2016/3/25,13,5,阴~多云,北风微风,优
2016/3/26,18,6,多云,西北风微风,优
2016/3/27,20,7,多云,西南风微风,优
2016/3/28,23,7,阴~多云,西北风微风,轻度污染
2016/3/29,21,7,阴~晴,西风微风,优
2016/3/30,22,7,晴,无持续风向微风,优
2016/3/31,27,13,多云~小雨,南风微风,重度污染
2016/4/1,23,11,晴~多云,北风3-4级,轻度污染
2016/4/2,17,8,多云,北风3-4级,优
2016/4/3,18,8,晴,西南风微风,优
2016/4/4,22,11,多云,西南风微风,轻度污染
2016/4/5,25,11,阴,南风微风,中度污染
2016/4/6,25,12,阴~多云,西南风微风,轻度污染
2016/4/7,23,8,多云,西北风微风,中度污染
2016/4/8,25,11,多云,西风微风,良
2016/4/9,25,8,多云,东南风微风,中度污染
2016/4/10,20,5,多云,东南风微风,轻度污染
2016/4/11,17,8,阴~小雨,无持续风向微风,良
2016/4/12,20,8,小雨~晴,无持续风向微风,轻度污染
2016/4/13,27,11,晴,北风3-4级,中度污染
2016/4/14,24,9,多云,南风微风,良
2016/4/15,26,13,多云~小雨,西北风微风,良
2016/4/16,22,10,多云,北风微风,良
2016/4/17,20,9,多云,西北风微风,优
2016/4/18,21,8,多云~小雨,西北风微风,优
2016/4/19,15,8,小雨~阴,无持续风向微风,轻度污染
2016/4/20,27,13,多云,西风微风,良
2016/4/21,30,10,多云,西北风微风,中度污染
2016/4/22,24,8,多云,西北风微风,良
2016/4/23,24,9,多云~晴,南风微风,优
2016/4/24,29,14,多云,西南风微风,轻度污染
2016/4/25,31,14,阴,南风微风,轻度污染
2016/4/26,26,13,阴~小雨,东南风微风,轻度污染
2016/4/27,22,13,小雨~阴,西南风微风,轻度污染
2016/4/28,30,14,多云,南风微风,轻度污染
2016/4/29,32,14,晴~多云,西南风微风,中度污染
2016/4/30,32,16,晴~多云,南风微风,重度污染
2016/5/1,37,22,多云~小雨,西南风微风,重度污染
2016/5/2,23,14,小雨,北风微风,严重污染
2016/5/3,28,8,多云,北风微风,优
2016/5/4,31,16,阴,南风微风,优
2016/5/5,32,12,多云~晴,西北风微风,良
2016/5/6,27,11,多云~晴,西北风微风,轻度污染
2016/5/7,28,10,晴~多云,南风微风,优
2016/5/8,26,13,晴~阴,南风3-4级,良
2016/5/9,28,11,阴~多云,西北风微风,优
2016/5/10,27,16,晴~多云,无持续风向微风,优
2016/5/11,34,20,阴~小雨,南风微风,中度污染
2016/5/12,24,4,阴~多云,北风微风,良
2016/5/13,28,12,阴~小雨,南风微风,优
2016/5/14,17,10,小雨~阴,西南风微风,良
2016/5/15,24,6,阴~晴,西北风微风,良
2016/5/16,30,15,晴,南风3-4级,优
2016/5/17,35,16,多云~晴,南风微风,良
2016/5/18,33,15,阴,南风微风,良
2016/5/19,29,15,晴,无持续风向微风,轻度污染
2016/5/20,30,15,晴,无持续风向微风,轻度污染
2016/5/21,29,15,晴~霾,无持续风向微风,良
2016/5/22,30,15,阴,西南风微风,良
2016/5/23,24,11,小雨,南风微风,轻度污染
2016/5/24,30,16,多云~小雨,西风微风,优
2016/5/25,29,16,多云~晴,南风3-4级,优
2016/5/26,30,16,晴,北风4-5级,优
2016/5/27,32,14,阴,南风微风,良
2016/5/28,32,18,阴~晴,南风微风,良
2016/5/29,31,15,晴,北风微风,优
2016/5/30,37,22,阴,南风微风,轻度污染
2016/5/31,30,15,阴~多云,东南风微风,良
2016/6/1,32,16,多云~阴,南风微风,优
2016/6/2,32,19,晴~多云,南风3-4级,良
2016/6/3,30,18,阴,西南风1-2级,良
2016/6/4,31,17,阴~多云,南风1-2级,轻度污染
2016/6/5,32,15,晴,南风1-2级,良
2016/6/6,32,18,晴~小雨,南风1-2级,良
2016/6/7,27,15,小雨~晴,南风1-2级,良
2016/6/8,33,17,多云,西南风1-2级,中度污染
2016/6/9,35,22,小雨,南风1-2级,中度污染
2016/6/10,35,20,多云,西北风1-2级,良
2016/6/11,31,18,阴,西北风1-2级,优
2016/6/12,33,20,多云~小雨,西南风1-2级,良
2016/6/13,31,18,小雨~中雨,东南风1-2级,良
2016/6/14,24,17,小雨,东北风1-2级,优
2016/6/15,31,17,多云,北风1-2级,优
2016/6/16,34,20,多云~阴,西风1-2级,优
2016/6/17,33,17,小雨,西北风1-2级,优
2016/6/18,32,21,多云~晴,无持续风向微风,优
2016/6/19,36,23,阴~小雨,南风1-2级,优
2016/6/20,36,22,阴~小雨,南风1-2级,优
2016/6/21,35,22,阴~多云,南风1-2级,优
2016/6/22,38,22,多云~阴,西南风1-2级,优
2016/6/23,35,21,阴~晴,北风1-2级,轻度污染
2016/6/24,33,19,多云~晴,北风1-2级,良
2016/6/25,37,19,晴~阴,北风1-2级,优
2016/6/26,37,23,阴,西南风1-2级,良
2016/6/27,30,20,小雨,东北风1-2级,良
2016/6/28,31,19,小雨~中雨,南风1-2级,良
2016/6/29,33,22,多云,西南风1-2级,轻度污染
2016/6/30,31,22,雷阵雨,无持续风向微风,良
2016/7/1,32,21,晴~多云,无持续风向微风,优
2016/7/2,34,19,晴~多云,南风1-2级,良
2016/7/3,34,21,小雨,南风1-2级,良
2016/7/4,34,19,多云,东南风1-2级,轻度污染
2016/7/5,34,18,晴,南风1-2级,良
2016/7/6,35,18,晴~多云,南风1-2级,轻度污染
2016/7/7,35,21,多云,东南风1-2级,轻度污染
2016/7/8,35,22,多云,南风1-2级,良
2016/7/9,37,23,多云~晴,南风1-2级,良
2016/7/10,38,23,晴~多云,南风1-2级,良
2016/7/11,38,24,阴~小雨,南风1-2级,良
2016/7/12,30,22,小雨~晴,西北风1-2级,优
2016/7/13,37,21,阴,南风1-2级,优
2016/7/14,34,21,小雨,西北风1-2级,优
2016/7/15,27,19,小雨~多云,东北风1-2级,优
2016/7/16,29,19,多云~小雨,东南风1-2级,优
2016/7/17,31,18,多云~阴,南风1-2级,良
2016/7/18,33,21,阴~小雨,南风1-2级,良
2016/7/19,25,21,中雨~小雨,东北风1-2级,良
2016/7/20,23,21,大暴雨~中雨,东风3-4级,优
2016/7/21,28,20,小雨~多云,南风1-2级,优
2016/7/22,31,23,小雨~阴,西南风1-2级,良
2016/7/23,33,23,小雨~阴,南风1-2级,轻度污染
2016/7/24,34,24,小雨~大雨,南风1-2级,良
2016/7/25,32,20,小雨~多云,东南风1-2级,优
2016/7/26,32,22,晴~多云,西南风1-2级,优
2016/7/27,33,22,多云,西南风1-2级,优
2016/7/28,34,23,多云~小雨,南风1-2级,优
2016/7/29,34,24,晴~小雨,南风1-2级,轻度污染
2016/7/30,31,24,小雨,南风1-2级,轻度污染
2016/7/31,32,24,小雨~中雨,西南风1-2级,优
2016/8/1,31,22,小雨,东风1-2级,优
2016/8/2,33,22,多云~晴,东北风1-2级,优
2016/8/3,34,22,多云,东南风1-2级,良
2016/8/4,33,21,多云,南风1-2级,轻度污染
2016/8/5,32,23,多云,南风1-2级,良
2016/8/6,33,24,多云~中雨,南风1-2级,轻度污染
2016/8/7,30,20,小雨,东北风1-2级,优
2016/8/8,32,21,晴~多云,东南风1-2级,优
2016/8/9,31,23,多云,南风1-2级,良
2016/8/10,33,24,小雨,西南风1-2级,轻度污染
2016/8/11,35,25,小雨,南风1-2级,轻度污染
2016/8/12,32,23,中雨~小雨,南风1-2级,良
2016/8/13,35,23,阴~小雨,西风1-2级,优
2016/8/14,34,23,阴,西北风1-2级,优
2016/8/15,29,18,小雨~多云,西南风1-2级,优
2016/8/16,31,20,晴~阴,南风1-2级,良
2016/8/17,28,22,小雨~中雨,南风1-2级,良
2016/8/18,25,22,大雨~多云,东北风1-2级,良
2016/8/19,32,22,多云~晴,无持续风向微风,优
2016/8/20,32,22,多云,无持续风向微风,良
2016/8/21,33,23,多云,无持续风向微风,良
2016/8/22,32,23,多云~阴,无持续风向微风,轻度污染
2016/8/23,30,24,阵雨,无持续风向微风,良
2016/8/24,33,24,多云~雷阵雨,无持续风向微风,轻度污染
2016/8/25,30,18,晴,北风4-5级,良
2016/8/26,29,17,晴,无持续风向微风,优
2016/8/27,31,18,晴,无持续风向微风,优
2016/8/28,31,18,晴,无持续风向微风,优
2016/8/29,31,19,晴,无持续风向微风,优
2016/8/30,29,19,阵雨~多云,无持续风向微风,良
2016/8/31,33,20,多云~阴,北风3-4级,优
2016/9/1,26,19,阵雨~阴,北风3-4级,优
2016/9/2,28,20,阴~多云,无持续风向微风,优
2016/9/3,30,20,多云~阴,无持续风向微风,优
2016/9/4,28,18,雷阵雨~阵雨,无持续风向微风,轻度污染
2016/9/5,30,19,晴,无持续风向微风,优
2016/9/6,31,22,阴,无持续风向微风,优
2016/9/7,31,19,多云,无持续风向微风,良
2016/9/8,32,18,晴,北风3-4级,优
2016/9/9,31,19,晴,无持续风向微风,优
2016/9/10,29,17,阴~雷阵雨,无持续风向微风,优
2016/9/11,22,18,雷阵雨~阵雨,无持续风向微风,优
2016/9/12,27,17,多云,无持续风向微风,优
2016/9/13,28,19,多云,无持续风向微风,轻度污染
2016/9/14,30,20,多云~晴,无持续风向微风,中度污染
2016/9/15,30,21,多云,无持续风向微风,良
2016/9/16,30,20,雷阵雨~阵雨,无持续风向微风,中度污染
2016/9/17,25,17,多云~小雨,无持续风向微风,良
2016/9/18,20,15,小雨~多云,无持续风向微风,优
2016/9/19,25,12,晴,无持续风向微风,优
2016/9/20,26,14,晴~多云,无持续风向微风,优
2016/9/21,24,16,多云,无持续风向微风,良
2016/9/22,26,18,阴~阵雨,无持续风向微风,轻度污染
2016/9/23,27,19,多云~霾,无持续风向微风,中度污染
2016/9/24,30,20,霾~雷阵雨,无持续风向微风,轻度污染
2016/9/25,26,19,阵雨,无持续风向微风,重度污染
2016/9/26,25,19,阵雨~阴,无持续风向微风,良
2016/9/27,23,12,晴,北风4-5级,优
2016/9/28,20,9,晴,无持续风向微风,优
2016/9/29,22,11,多云,无持续风向微风,良
2016/9/30,24,14,晴~多云,无持续风向微风,轻度污染
2016/10/1,25,16,多云~霾,无持续风向微风,重度污染
2016/10/2,26,16,霾,无持续风向微风,中度污染
2016/10/3,28,17,霾~阵雨,无持续风向微风,轻度污染
2016/10/4,20,12,小雨~晴,无持续风向微风,良
2016/10/5,23,13,晴~多云,无持续风向微风,良
2016/10/6,19,14,小雨~小到中雨,无持续风向微风,轻度污染
2016/10/7,15,12,小雨~多云,无持续风向微风,良
2016/10/8,19,4,晴,北风4-5级,优
2016/10/9,18,8,多云~晴,无持续风向微风,优
2016/10/10,19,10,多云~晴,无持续风向微风,轻度污染
2016/10/11,20,9,晴~阴,北风3-4级,中度污染
2016/10/12,18,10,霾,无持续风向微风,轻度污染
2016/10/13,22,12,霾,无持续风向微风,中度污染
2016/10/14,23,13,霾,无持续风向微风,重度污染
2016/10/15,17,12,小雨,无持续风向微风,中度污染
2016/10/16,21,12,霾~晴,无持续风向微风,中度污染
2016/10/17,21,8,晴,无持续风向微风,良
2016/10/18,21,11,晴~霾,无持续风向微风,轻度污染
2016/10/19,21,14,霾,无持续风向微风,重度污染
2016/10/20,16,11,小雨,无持续风向微风,轻度污染
2016/10/21,12,11,小雨~阴,无持续风向微风,良
2016/10/22,14,7,多云,无持续风向微风,优
2016/10/23,15,4,晴,无持续风向微风,优
2016/10/24,13,6,多云~霾,无持续风向微风,良
2016/10/25,18,10,霾,无持续风向微风,轻度污染
2016/10/26,14,9,阴,无持续风向微风,良
2016/10/27,11,7,小雨,无持续风向微风,良
2016/10/28,12,2,晴,北风4-5级,优
2016/10/29,11,2,多云~阴,无持续风向微风,良
2016/10/30,12,1,阴~多云,北风3-4级,良
2016/10/31,6,-4,晴,北风3-4级,优
